Year,HBR,HBRQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDeaths,NumberOfDeathsQF,CrudeRate,CrudeRateQF,EASR
2011,S08000015,,0-44 years,,Males,,Coronary Heart Disease,8,,8.40203749409232,,8.99262123057591
2011,S08000015,,0-44 years,,Females,,Coronary Heart Disease,1,,1.02034569312083,,1.1103180268062496
2011,S08000015,,45-64 years,,Males,,Coronary Heart Disease,72,,137.646249139711,,135.77053212045726
2011,S08000015,,45-64 years,,Females,,Coronary Heart Disease,19,,33.7381916329285,,32.8455253024555
2011,S08000015,,65-74 years,,Males,,Coronary Heart Disease,95,,507.207688200747,,514.8888736512531
2011,S08000015,,65-74 years,,Females,,Coronary Heart Disease,39,,185.572896840502,,188.60079024556907
2011,S08000015,,75plus years,,Males,,Coronary Heart Disease,184,,1455.46590729315,,1561.0717849074254
2011,S08000015,,75plus years,,Females,,Coronary Heart Disease,200,,1024.22287089671,,1007.1094338024913
2011,S08000016,,0-44 years,,Males,,Coronary Heart Disease,2,,7.3515897812902,,7.250623350169578
2011,S08000016,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2011,S08000016,,45-64 years,,Males,,Coronary Heart Disease,16,,92.7536231884058,,91.30447635183288
2011,S08000016,,45-64 years,,Females,,Coronary Heart Disease,1,,5.65674850096165,,4.999229285485154
2011,S08000016,,65-74 years,,Males,,Coronary Heart Disease,20,,320.358801858081,,329.6169261828461
2011,S08000016,,65-74 years,,Females,,Coronary Heart Disease,8,,117.388114453412,,119.26638531279188
2011,S08000016,,75plus years,,Males,,Coronary Heart Disease,60,,1334.22281521014,,1431.3191913969008
2011,S08000016,,75plus years,,Females,,Coronary Heart Disease,72,,1124.12177985948,,1075.0511197750643
2011,S08000017,,0-44 years,,Males,,Coronary Heart Disease,2,,5.56312759033128,,5.979002655772666
2011,S08000017,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2011,S08000017,,45-64 years,,Males,,Coronary Heart Disease,22,,98.3152343924566,,95.47429053014838
2011,S08000017,,45-64 years,,Females,,Coronary Heart Disease,9,,38.6548125241593,,37.15870064035729
2011,S08000017,,65-74 years,,Males,,Coronary Heart Disease,27,,309.242927499714,,308.9977154816803
2011,S08000017,,65-74 years,,Females,,Coronary Heart Disease,10,,106.666666666667,,110.89379497096228
2011,S08000017,,75plus years,,Males,,Coronary Heart Disease,68,,1075.94936708861,,1203.4795729972875
2011,S08000017,,75plus years,,Females,,Coronary Heart Disease,69,,777.20207253886,,767.370568654165
2011,S08000019,,0-44 years,,Males,,Coronary Heart Disease,4,,4.84901383181195,,4.923208764943397
2011,S08000019,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2011,S08000019,,45-64 years,,Males,,Coronary Heart Disease,49,,120.624292255428,,120.4189807930075
2011,S08000019,,45-64 years,,Females,,Coronary Heart Disease,13,,30.8854624504051,,30.759858095040983
2011,S08000019,,65-74 years,,Males,,Coronary Heart Disease,52,,401.916834132014,,408.83012384931106
2011,S08000019,,65-74 years,,Females,,Coronary Heart Disease,35,,237.545812406678,,240.04438733989016
2011,S08000019,,75plus years,,Males,,Coronary Heart Disease,142,,1634.25020140407,,1797.7172541327511
2011,S08000019,,75plus years,,Females,,Coronary Heart Disease,132,,1008.7116001834,,1009.1456342001006
2011,S08000020,,0-44 years,,Males,,Coronary Heart Disease,5,,3.04621720747176,,3.23691266633014
2011,S08000020,,0-44 years,,Females,,Coronary Heart Disease,2,,1.25703942075623,,1.3107261383052375
2011,S08000020,,45-64 years,,Males,,Coronary Heart Disease,94,,121.105929037079,,120.87149223031577
2011,S08000020,,45-64 years,,Females,,Coronary Heart Disease,14,,17.9556239579325,,17.78886794752186
2011,S08000020,,65-74 years,,Males,,Coronary Heart Disease,88,,377.990636141059,,382.96250993155275
2011,S08000020,,65-74 years,,Females,,Coronary Heart Disease,40,,157.01051970482,,158.38375861209653
2011,S08000020,,75plus years,,Males,,Coronary Heart Disease,269,,1607.40962055572,,1798.9918783925682
2011,S08000020,,75plus years,,Females,,Coronary Heart Disease,273,,1080.84567265817,,1059.965596521781
